claim_id,requirement_id,subject,jurisdiction,responsible_actor,actor_override_reason,finding,documented_policy,technical_control,deployed_configuration,deployment_basis,independent_verification,evidence_label,verified_fact,assessment,known_fact_basis,implementation_state,deployment_evidence_state,historical_as_of,applicability_reason,binding_obligation,last_verified,source_ids,unresolved_question,next_action,notes
"FS-GLOBAL-001","OASPS-A01","Flock Safety ALPR ecosystem — public data inventory","Global","Shared","","Public material names core observations and several derived search capabilities but no single exhaustive versioned inventory was located.","The LPR policy names plate and vehicle observations; Enhanced LPR material describes additional vehicle-oriented search and pattern functions.","Public pages describe plate interpretation, confidence handling, hot-list matching, and enhanced vehicle search at a functional level.","Feature-dependent; the complete production field and retention-class inventory is not public.","","External readers can compare public pages but cannot establish every collected, derived, internal-use, searchable, exported, or shared field.","Partially verifiable","","Partly meets","","Optional or customer-configurable","","","","","2026-08-14","SRC-0010|SRC-0020","Which fields and derivations exist in each deployed version and customer configuration?","Obtain a versioned field dictionary, data-flow map, and lawful independent implementation review.","Vendor pages establish public descriptions, not an exhaustive production schema."
"FS-GLOBAL-002","OASPS-A02","Flock Safety ALPR ecosystem — derivation and correlation","Global","Vendor","","Flock describes hot-list, visual, convoy, and multi-geography capabilities at a functional level while detailed derivation logic and limitations remain opaque.","Product material describes feature purposes and example outputs.","Vendor pages describe functional search and correlation mechanisms but not full algorithms, thresholds, feature representations, or error boundaries.","Availability and enablement are feature- and customer-dependent.","","An external reader can see public feature descriptions but cannot independently test the complete derivation process from this evidence.","Partially verifiable","","Partly meets","","Optional or customer-configurable","","","","","2026-08-14","SRC-0020","What inputs, transformations, thresholds, confidence handling, error modes, and customer settings produce each inference?","Publish versioned technical documentation and permit authorized independent evaluation.","The assessment concerns transparency, not an assertion that any Fairfield user enabled or used these functions."
"FS-GLOBAL-003","OASPS-A03","Flock Safety ALPR ecosystem — completeness commitment","Global","Shared","","No recoverable public evidence establishes an enforceable commitment that every rights-relevant field or derivation is disclosed before operational use.","Public pages disclose selected fields and capabilities but no complete pre-use disclosure covenant was located.","Unknown from public evidence.","Unknown.","","Available pages cannot prove the absence or presence of undisclosed rights-relevant fields.","Unknown","","Unknown","","Unknown","","","","","2026-08-14","SRC-0010|SRC-0020","Is there a binding release gate that prevents operational use of an undisclosed field or derivation?","Obtain contract, product-governance, schema-diff, and release-approval evidence.","Absence of public evidence is not evidence that undisclosed fields exist."
"FS-GLOBAL-004","OASPS-A04","Flock Safety ALPR ecosystem — capability semantics","Global","Vendor","","Public trust and product language does not provide one precise boundary between prohibited individual tracking and retrospective pattern, trajectory, or association inference.","Trust material prohibits tracking individuals; Enhanced LPR material describes recurring, convoy, and multi-location vehicle patterns.","The public pages describe capabilities but do not supply formal semantic boundary tests.","Capabilities are available and feature-dependent; customer use is not established here.","","The wording conflict is externally inspectable, while production semantics and safeguards are not fully independently testable.","Partially verifiable","","Partly meets","","Optional or customer-configurable","","","","","2026-08-14","SRC-0015|SRC-0020","How does Flock technically define tracking, pattern, association, real-time, and deconfliction?","Publish a versioned capability glossary, matrix, representative outputs, and boundary tests.","Repeated observations may enable retrospective inference without continuous following; this row does not claim every use constitutes tracking."
"FS-GLOBAL-005","OASPS-B01","Flock Safety ALPR ecosystem — identity and least privilege","Global","Shared","","Individual users, roles, and access controls are publicly described, but complete role definitions and vendor-privileged access evidence are not public.","Flock policies and compliance material describe authorized users, individual attribution, administrative roles, and access controls.","Authentication, role-based control, and audit functions are described.","Platform capabilities are described as deployed; each customer's role design and vendor-access exposure remain configuration-specific.","Cited vendor policy and compliance pages describe individual accounts, roles, and platform access controls; customer-specific role design and vendor access remain unverified.","Public material supports the existence of controls but not complete end-to-end role and privileged-access operation.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0010|SRC-0016","Which agency, service, administrator, integration, and vendor roles exist and how is each access reviewed?","Publish role definitions and provide privileged-access records to customers and independent auditors.","No shared-credential or misuse conclusion is made."
"FS-GLOBAL-006","OASPS-B02","Flock Safety ALPR ecosystem — structured search purpose","Global","Shared","","Mandatory offense-type selection provides a structured purpose for completed ALPR searches and substantially meets the proposed requirement.","Flock states that an offense type is required and that an Other selection requires additional explanation.","The interface requires purpose selection before a completed search.","Described as deployed for ALPR searches; local policy and validation of the underlying purpose remain separate.","Cited vendor policy and offense-type announcement describe required purpose fields for ALPR searches; local policy and actual deployment are not independently established.","The required field is publicly documented, but outsiders cannot independently establish the validity of every selected purpose.","Partially verifiable","","Meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0010|SRC-0018","How are false, vague, or unsupported purpose selections detected and reviewed?","Sample lawfully available audit records against valid agency cases and supervisory review.","Evidence quality and assessment differ: the structured field can meet B02 while end-to-end purpose validity remains partially verifiable."
"FS-GLOBAL-007","OASPS-B03","Flock Safety ALPR ecosystem — case-linked searches","Global","Shared","","Publicly recoverable material describes case-code capability but does not establish universal current case linkage with automatically reviewed emergency exceptions.","Compliance material presents case codes as an accountability tool; the specific rollout timing reported in the Notion research could not be re-retrieved from its cited announcement.","Case-code and audit features are vendor-described.","Universal deployment is not established; treat broader enforcement as announced or future.","","No independent sample ties all completed searches to valid cases or verifies emergency review.","Vendor-asserted","","Partly meets","","Announced or future","","","","","2026-08-14","SRC-0011|SRC-0016","When is case linkage mandatory for every customer and how are emergency bypasses reviewed?","Recover the announcement, obtain current product documentation, and review a lawful sample of case-linked audit records.","Specific timing dependent only on the unretrieved announcement is withheld."
"FS-GLOBAL-008","OASPS-B04","Flock Safety ALPR ecosystem — protected activity and prohibited uses","Global","Shared","","Search filters and state-specific restrictions provide meaningful safeguards, but a universal national hard prohibition and independently verified enforcement were not established.","Flock describes search filters; Connecticut law and state-specific terms restrict specified sensitive and protected uses.","Automated blocking is described for covered query categories.","Controls are jurisdiction-specific or configurable; effective dates and customer implementation vary.","","The law and vendor descriptions are public, while complete production enforcement and local configuration are not independently established.","Partially verifiable","","Partly meets","","Jurisdiction-specific","","","","","2026-08-14","SRC-0017|SRC-0022|SRC-0035|SRC-0037","Which prohibited purposes are blocked universally, which depend on law or settings, and how are exceptions audited?","Publish a jurisdiction/version control matrix and permit independent testing of filters and exception paths.","No legal-compliance conclusion is made."
"FS-GLOBAL-009","OASPS-B05","Flock Safety ALPR ecosystem — external sharing","Global","Shared","","Current material describes customer-controlled sharing and stronger guardrails, while acknowledged California history shows that sharing was not always fully observable or reliably bounded.","Compliance material describes sharing controls; the California announcement describes earlier out-of-state accessibility and remediation.","Customer sharing controls and permanent change logging are vendor-described.","Current platform control is described as deployed; each customer's topology remains configuration-specific.","Cited compliance and California remediation pages describe sharing controls as current platform capabilities; customer topology and configuration remain unverified.","The acknowledgment is public, but the complete current remediation and every customer configuration are not independently verified.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0016|SRC-0021","Can each customer and independent reviewer export the current topology, approvals, durations, and complete change history?","Obtain configuration exports, authorization records, and independent completeness testing.","Historical failure is preserved together with the positive remediation claim."
"FS-GLOBAL-010","OASPS-C01","Flock Safety ALPR ecosystem — complete use and data-action logs","Global","Shared","","Search and deletion events are described, but no public canonical audit schema covers every export, hot-list, alert, API, administrator, and vendor-privileged action.","Policies and product material describe search audit records; deletion material describes CloudTrail events.","Search logging and deletion-event mechanisms are vendor-described.","Some controls are deployed; coverage across event classes and customer configurations is not established.","Cited policy, compliance, and deletion pages describe current logging and deletion controls; complete event-class and customer coverage are not established.","Public descriptions show meaningful logging but cannot prove canonical completeness or tamper resistance for every rights-relevant event.","Partially verifiable","","Partly meets","","Deployed now","Affirmative","","","","2026-08-14","SRC-0010|SRC-0016|SRC-0019","What exact event schema covers exports, hot lists, alerts, APIs, administrators, and vendor access?","Publish the canonical event inventory and permit independent completeness and integrity testing.","Security or search-log claims do not silently populate every audit-event class."
